Literature,Category,Variable,Unit,Trt_aCO2 ,Trt_eCO2 ,Trt_CO2_unit,Trt_aP,Trt_eP,Trt_P_unit,Sample Size,aCaP_mean,aCaP_pos,aCaP_neg,aCeP_mean,aCeP_pos,aCeP_neg,eCaP_mean,eCaP_pos,eCaP_neg,eCeP_mean,eCeP_pos,eCeP_neg,Confidence interval type,Species,Vegetation_type,Soil_weight_in_pot,Soil_weight_unit,Pot_volume ,Pot_volume_unit,Experiment_duration,Experimental_duration_unit,Mycorrhizae_Literature,Mycorrhizae,Soil_growth_condition,CO2_exposure_type
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,525,ppm,70,1000,mg P kg-1 soil,5,19.23,19.98,18.48,21.25,22.52,19.98,22.76,25.27,20.25,26.39,28.16,24.62,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,1500,ppm,70,1000,mg P kg-1 soil,5,19.23,19.98,18.48,21.25,22.52,19.98,21.59,23.61,19.57,27.15,28.24,26.06,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,525,ppm,100,1000,mg P kg-1 soil,5,20.07,20.74,19.4,21.25,22.52,19.98,23.52,24.11,22.93,26.39,28.16,24.62,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,1500,ppm,100,1000,mg P kg-1 soil,5,20.07,20.74,19.4,21.25,22.52,19.98,22.26,23.27,21.25,27.15,28.24,26.06,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,525,ppm,175,1000,mg P kg-1 soil,5,19.97,21.15,18.79,21.25,22.52,19.98,23.51,24.27,22.75,26.39,28.16,24.62,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,1500,ppm,175,1000,mg P kg-1 soil,5,19.97,21.15,18.79,21.25,22.52,19.98,22.08,23.09,21.07,27.15,28.24,26.06,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,525,ppm,250,1000,mg P kg-1 soil,5,19.72,20.89,18.55,21.25,22.52,19.98,24.01,25.19,22.83,26.39,28.16,24.62,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,1500,ppm,250,1000,mg P kg-1 soil,5,19.72,20.89,18.55,21.25,22.52,19.98,23.76,25.11,22.41,27.15,28.24,26.06,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,525,ppm,500,1000,mg P kg-1 soil,5,21.63,22.73,20.53,21.25,22.52,19.98,27.1,29.2,25,26.39,28.16,24.62,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Thomas et al. 2006,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,360,1500,ppm,500,1000,mg P kg-1 soil,5,21.63,22.73,20.53,21.25,22.52,19.98,26.6,28.37,24.83,27.15,28.24,26.06,SE,Eucalyptus grandis,Woody,7500,g,0.006891869,dm3,133,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,350,700,ppm,0.004,0.5,mM P,8,9.33,12.03,6.63,17.9,19,16.8,7.92,9.32,6.52,25.69,26.79,24.59,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,350,700,ppm,0.02,0.5,mM P,8,12.35,15.65,9.05,17.9,19,16.8,10.55,12.05,9.05,25.69,26.79,24.59,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,350,700,ppm,0.1,0.5,mM P,8,12.77,15.87,9.67,17.9,19,16.8,15.97,18.47,13.47,25.69,26.79,24.59,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Biomass,Total plant biomass ,g,350,700,ppm,0.004,0.5,mM P,8,40.97,44.55,37.39,42.07,49.24,34.9,44.85,48.73,40.97,77.89,85.66,70.12,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Biomass,Total plant biomass ,g,350,700,ppm,0.012,0.5,mM P,8,44,49.07,38.93,42.07,49.24,34.9,55.94,60.12,51.76,77.89,85.66,70.12,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Biomass,Total plant biomass ,g,350,700,ppm,0.02,0.5,mM P,8,53.58,58.65,48.51,42.07,49.24,34.9,45.22,50.89,39.55,77.89,85.66,70.12,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Biomass,Total plant biomass ,g,350,700,ppm,0.06,0.5,mM P,8,45.86,50.94,40.78,42.07,49.24,34.9,45.86,50.94,40.78,77.89,85.66,70.12,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Biomass,Total plant biomass ,g,350,700,ppm,0.1,0.5,mM P,8,47.07,52.75,41.39,42.07,49.24,34.9,79.62,85.89,73.35,77.89,85.66,70.12,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,Leaf area,cm-2,350,700,ppm,0.004,0.5,mM P,8,2322.7,2557.9,2087.5,3578.3,3764.1,3392.5,1801.7,1885.7,1717.7,3897.6,3948,3847.2,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,Leaf area,cm-2,350,700,ppm,0.012,0.5,mM P,8,2594.3,2779.2,2409.4,3578.3,3764.1,3392.5,2375.9,2661.6,2090.2,3897.6,3948,3847.2,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,Leaf area,cm-2,350,700,ppm,0.02,0.5,mM P,8,2847.6,2982.2,2713,3578.3,3764.1,3392.5,1906.6,2108.2,1705,3897.6,3948,3847.2,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,Leaf area,cm-2,350,700,ppm,0.06,0.5,mM P,8,2682.3,2968,2396.6,3578.3,3764.1,3392.5,1892.4,2043.6,1741.2,3897.6,3948,3847.2,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,Leaf area,cm-2,350,700,ppm,0.1,0.5,mM P,8,3053.3,3339,2767.6,3578.3,3764.1,3392.5,3170.9,3473.4,2868.4,3897.6,3948,3847.2,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,SLA,cm2 g-1,350,700,ppm,0.004,0.5,mM P,8,40.58,41.37,39.79,62.87,68.92,56.82,31.63,33.47,29.79,45.5,49.18,41.82,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,SLA,cm2 g-1,350,700,ppm,0.012,0.5,mM P,8,42.2,44.04,40.36,62.87,68.92,56.82,31.94,33.78,30.1,45.5,49.18,41.82,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,SLA,cm2 g-1,350,700,ppm,0.02,0.5,mM P,8,40.37,41.69,39.05,62.87,68.92,56.82,32.22,33.27,31.17,45.5,49.18,41.82,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,SLA,cm2 g-1,350,700,ppm,0.06,0.5,mM P,8,43.32,46.47,40.17,62.87,68.92,56.82,32.79,34.89,30.69,45.5,49.18,41.82,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Morphology,SLA,cm2 g-1,350,700,ppm,0.1,0.5,mM P,8,50.71,53.6,47.82,62.87,68.92,56.82,32.28,33.07,31.49,45.5,49.18,41.82,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Leaf P concentration,mg g-1,350,700,ppm,0.004,0.5,mM P,8,0.54,0.56,0.52,2.14,2.24,2.04,0.42,0.45,0.39,1.1,1.13,1.07,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Leaf P concentration,mg g-1,350,700,ppm,0.012,0.5,mM P,8,0.56,0.6,0.52,2.14,2.24,2.04,0.43,0.45,0.41,1.1,1.13,1.07,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Leaf P concentration,mg g-1,350,700,ppm,0.02,0.5,mM P,8,0.62,0.64,0.6,2.14,2.24,2.04,0.4,0.401,0.399,1.1,1.13,1.07,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Leaf P concentration,mg g-1,350,700,ppm,0.06,0.5,mM P,8,0.68,0.77,0.59,2.14,2.24,2.04,0.4,0.401,0.399,1.1,1.13,1.07,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Leaf P concentration,mg g-1,350,700,ppm,0.1,0.5,mM P,8,0.76,0.8,0.72,2.14,2.24,2.04,0.47,0.49,0.45,1.1,1.13,1.07,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Stem P concentration,mg g-1,350,700,ppm,0.004,0.5,mM P,8,0.28,0.3,0.26,1.16,1.23,1.09,0.27,0.29,0.25,0.76,0.81,0.71,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Stem P concentration,mg g-1,350,700,ppm,0.012,0.5,mM P,8,0.34,0.38,0.3,1.16,1.23,1.09,0.32,0.36,0.28,0.76,0.81,0.71,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Stem P concentration,mg g-1,350,700,ppm,0.02,0.5,mM P,8,0.36,0.38,0.34,1.16,1.23,1.09,0.28,0.3,0.26,0.76,0.81,0.71,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Stem P concentration,mg g-1,350,700,ppm,0.06,0.5,mM P,8,0.3,0.33,0.27,1.16,1.23,1.09,0.3,0.301,0.299,0.76,0.81,0.71,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Stem P concentration,mg g-1,350,700,ppm,0.1,0.5,mM P,8,0.38,0.4,0.36,1.16,1.23,1.09,0.37,0.39,0.35,0.76,0.81,0.71,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Root P concentration,mg g-1,350,700,ppm,0.004,0.5,mM P,8,0.5,0.55,0.45,1.26,1.35,1.17,0.47,0.51,0.43,0.96,1.04,0.88,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Root P concentration,mg g-1,350,700,ppm,0.012,0.5,mM P,8,0.46,0.5,0.42,1.26,1.35,1.17,0.44,0.54,0.4,0.96,1.04,0.88,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Root P concentration,mg g-1,350,700,ppm,0.02,0.5,mM P,8,0.52,0.58,0.46,1.26,1.35,1.17,0.5,0.57,0.43,0.96,1.04,0.88,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Root P concentration,mg g-1,350,700,ppm,0.06,0.5,mM P,8,0.52,0.54,0.5,1.26,1.35,1.17,0.56,0.58,0.54,0.96,1.04,0.88,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Lewis et al. 2010,Concentration,Root P concentration,mg g-1,350,700,ppm,0.1,0.5,mM P,8,0.62,0.66,0.58,1.26,1.35,1.17,0.52,0.54,0.5,0.96,1.04,0.88,SE,Populus deltoides,Woody,NA,NA,3.5,L,70,Days,Soudzilovshaia et al. 2019,ECM-AM,restricted,chambers
Singh et al. 2014,Concentration,Stem P concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,0.67,NA,NA,4.4,NA,NA,0.64,NA,NA,4.03,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem P concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,1.02,NA,NA,4.4,NA,NA,1.01,NA,NA,4.03,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem P concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,0.77,NA,NA,5.2,NA,NA,0.5,NA,NA,3.67,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem P concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,1.32,NA,NA,5.2,NA,NA,0.75,NA,NA,3.67,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root P concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,12,1.47,NA,NA,6.59,NA,NA,1.51,NA,NA,5.36,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root P concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,12,2.38,NA,NA,6.59,NA,NA,1.99,NA,NA,5.36,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root P concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,1.29,NA,NA,4.68,NA,NA,1.31,NA,NA,4.34,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root P concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,1.62,NA,NA,4.68,NA,NA,1.61,NA,NA,4.34,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root P concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,1.07,NA,NA,3.37,NA,NA,1.03,NA,NA,4.47,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root P concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,1.58,NA,NA,3.37,NA,NA,1.24,NA,NA,4.47,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Total plant N concentration ,mg g-1,400,800,ppm,0.01,0.5,mM P,12,46.1,NA,NA,39.4,NA,NA,42.9,NA,NA,47.2,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Total plant N concentration ,mg g-1,400,800,ppm,0.1,0.5,mM P,12,49.3,NA,NA,39.4,NA,NA,44.3,NA,NA,47.2,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Total plant N concentration ,mg g-1,400,800,ppm,0.01,0.5,mM P,14,42.2,NA,NA,37.7,NA,NA,42.4,NA,NA,36.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Total plant N concentration ,mg g-1,400,800,ppm,0.1,0.5,mM P,14,38,NA,NA,37.7,NA,NA,34.2,NA,NA,36.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Total plant N concentration ,mg g-1,400,800,ppm,0.01,0.5,mM P,14,44.4,NA,NA,41.1,NA,NA,42.5,NA,NA,39.5,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Total plant N concentration ,mg g-1,400,800,ppm,0.1,0.5,mM P,14,43.5,NA,NA,41.1,NA,NA,40.4,NA,NA,39.5,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Leaf N concentration ,mg g-1,400,800,ppm,0.01,0.5,mM P,12,54.1,NA,NA,63.6,NA,NA,49.6,NA,NA,60.7,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Leaf N concentration ,mg g-1,400,800,ppm,0.1,0.5,mM P,12,60.8,NA,NA,63.6,NA,NA,55.1,NA,NA,60.7,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Leaf N concentration ,mg g-1,400,800,ppm,0.01,0.5,mM P,14,51.7,NA,NA,48.7,NA,NA,52.2,NA,NA,48.6,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Leaf N concentration ,mg g-1,400,800,ppm,0.1,0.5,mM P,14,46,NA,NA,48.7,NA,NA,41.8,NA,NA,48.6,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Leaf N concentration ,mg g-1,400,800,ppm,0.01,0.5,mM P,14,49.7,NA,NA,31,NA,NA,48.2,NA,NA,25.3,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Leaf N concentration ,mg g-1,400,800,ppm,0.1,0.5,mM P,14,32.4,NA,NA,31,NA,NA,23.4,NA,NA,25.3,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem N concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,12,30.9,NA,NA,30.6,NA,NA,30.4,NA,NA,30.2,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem N concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,12,32.6,NA,NA,30.6,NA,NA,30.6,NA,NA,30.2,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem N concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,30.1,NA,NA,24.5,NA,NA,30.6,NA,NA,22.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem N concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,25.9,NA,NA,24.5,NA,NA,20.9,NA,NA,22.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem N concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,25.7,NA,NA,20.7,NA,NA,26.6,NA,NA,17.4,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Stem N concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,29.4,NA,NA,20.7,NA,NA,19.2,NA,NA,17.4,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root N concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,12,47.5,NA,NA,42.4,NA,NA,45.2,NA,NA,41,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root N concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,12,47.4,NA,NA,42.4,NA,NA,41.3,NA,NA,41,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root N concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,52.3,NA,NA,42.8,NA,NA,49.2,NA,NA,42.8,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root N concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,47.4,NA,NA,42.8,NA,NA,45.9,NA,NA,42.8,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root N concentration,mg g-1,400,800,ppm,0.01,0.5,mM P,14,29,NA,NA,27.5,NA,NA,22.7,NA,NA,34.5,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Concentration,Root N concentration,mg g-1,400,800,ppm,0.1,0.5,mM P,14,33,NA,NA,27.5,NA,NA,30.9,NA,NA,34.5,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,PUE ,g2 DW mg-1 P,400,800,ppm,0.01,0.5,mM P,12,7.93,NA,NA,2.64,NA,NA,9.49,NA,NA,3.87,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,PUE ,g2 DW mg-1 P,400,800,ppm,0.1,0.5,mM P,12,5.46,NA,NA,2.64,NA,NA,7.86,NA,NA,3.87,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,PUE ,g2 DW mg-1 P,400,800,ppm,0.01,0.5,mM P,14,25.95,NA,NA,11.46,NA,NA,24.22,NA,NA,15.29,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,PUE ,g2 DW mg-1 P,400,800,ppm,0.1,0.5,mM P,14,28.32,NA,NA,11.46,NA,NA,35.56,NA,NA,15.29,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,PUE ,g2 DW mg-1 P,400,800,ppm,0.01,0.5,mM P,14,34.72,NA,NA,23.84,NA,NA,42.01,NA,NA,43.21,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,PUE ,g2 DW mg-1 P,400,800,ppm,0.1,0.5,mM P,14,51.48,NA,NA,23.84,NA,NA,75.99,NA,NA,43.21,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,NUE ,g2 DW mg-1 N,400,800,ppm,0.01,0.5,mM P,12,0.252,NA,NA,0.295,NA,NA,0.282,NA,NA,0.409,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,NUE ,g2 DW mg-1 N,400,800,ppm,0.1,0.5,mM P,12,0.27,NA,NA,0.295,NA,NA,0.355,NA,NA,0.409,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
